pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,0,2
501.304347826087,4,0
502.17391304347825,4,0
503.04347826086956,3,2
503.9130434782609,8,0
504.78260869565213,13,1
505.6521739130435,12,0
506.52173913043475,8,0
507.3913043478261,9,1
508.2608695652174,8,0
509.13043478260875,5,0
510.0,17,0
510.86956521739125,13,1
511.7391304347826,25,0
512.608695652174,12,3
513.4782608695652,17,0
514.3478260869565,31,1
515.2173913043478,21,0
516.0869565217391,34,1
516.9565217391305,22,0
517.8260869565217,21,1
518.695652173913,28,1
519.5652173913044,24,4
520.4347826086956,24,0
521.304347826087,31,0
522.1739130434783,20,0
523.0434782608695,30,3
523.9130434782609,21,1
524.7826086956522,23,1
525.6521739130435,20,1
526.5217391304348,16,2
527.391304347826,27,0
528.2608695652174,23,2
529.1304347826087,31,2
530.0,37,0
530.8695652173913,30,1
531.7391304347826,37,1
532.6086956521739,30,0
533.4782608695652,18,1
534.3478260869565,22,2
535.2173913043478,36,0
536.0869565217391,20,1
536.9565217391305,29,2
537.8260869565217,25,2
538.695652173913,26,3
539.5652173913044,18,0
540.4347826086956,23,2
541.304347826087,21,2
542.1739130434783,20,0
543.0434782608695,26,0
543.9130434782609,25,1
544.7826086956522,31,1
545.6521739130435,32,2
546.5217391304348,23,3
547.391304347826,25,0
548.2608695652174,32,4
549.1304347826087,28,0
550.0,29,2
550.8695652173913,33,0
551.7391304347826,24,1
552.6086956521739,30,0
553.4782608695652,30,1
554.3478260869565,26,1
555.2173913043478,29,1
556.0869565217391,30,1
556.9565217391305,26,1
557.8260869565217,20,4
558.695652173913,21,2
559.5652173913044,27,3
560.4347826086956,24,2
561.304347826087,24,1
562.1739130434783,30,1
563.0434782608695,28,1
563.9130434782609,22,2
564.7826086956522,36,2
565.6521739130435,30,1
566.5217391304348,33,5
567.3913043478261,37,5
568.2608695652174,35,3
569.1304347826087,21,4
570.0,37,1
570.8695652173913,35,1
571.7391304347826,35,0
572.6086956521739,36,1
573.4782608695652,32,7
574.3478260869565,49,2
575.2173913043478,32,2
576.0869565217391,48,1
576.9565217391305,36,6
577.8260869565217,44,3
578.695652173913,45,6
579.5652173913044,47,3
580.4347826086956,52,5
581.304347826087,51,3
582.1739130434783,52,4
583.0434782608695,57,2
583.9130434782609,76,4
584.7826086956522,69,1
585.6521739130435,66,2
586.5217391304348,76,10
587.3913043478261,67,5
588.2608695652174,81,6
589.1304347826087,95,5
590.0,107,2
590.8695652173913,123,2
591.7391304347826,102,9
592.6086956521739,101,12
593.4782608695652,125,7
594.3478260869565,150,8
595.2173913043478,135,6
596.0869565217391,135,13
596.9565217391305,161,8
597.8260869565217,142,12
598.695652173913,184,6
599.5652173913044,177,14
600.4347826086956,184,10
601.304347826087,191,12
602.1739130434783,211,16
603.0434782608695,204,6
603.9130434782609,228,3
604.7826086956522,224,7
605.6521739130435,204,7
606.5217391304348,250,9
607.3913043478261,258,16
608.2608695652174,247,14
609.1304347826087,276,13
610.0,248,13
610.8695652173913,286,17
611.7391304347826,304,11
612.6086956521739,273,12
613.4782608695652,312,9
614.3478260869565,296,17
615.2173913043478,307,14
616.0869565217391,343,8
616.9565217391305,303,12
617.8260869565217,334,21
618.695652173913,323,15
619.5652173913044,353,10
620.4347826086956,342,9
621.304347826087,333,15
622.1739130434783,362,15
623.0434782608695,345,12
623.9130434782609,386,12
