pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,2,4
501.304347826087,3,2
502.17391304347825,5,3
503.04347826086956,5,1
503.9130434782609,9,0
504.78260869565213,7,0
505.6521739130435,3,3
506.52173913043475,5,1
507.3913043478261,13,0
508.2608695652174,9,0
509.13043478260875,13,0
510.0,9,2
510.86956521739125,17,5
511.7391304347826,13,4
512.608695652174,24,0
513.4782608695652,13,1
514.3478260869565,17,3
515.2173913043478,17,0
516.0869565217391,22,0
516.9565217391305,12,2
517.8260869565217,18,0
518.695652173913,21,1
519.5652173913044,18,0
520.4347826086956,32,0
521.304347826087,20,0
522.1739130434783,18,0
523.0434782608695,30,0
523.9130434782609,28,0
524.7826086956522,28,0
525.6521739130435,17,1
526.5217391304348,16,0
527.391304347826,22,2
528.2608695652174,31,0
529.1304347826087,31,1
530.0,17,0
530.8695652173913,20,1
531.7391304347826,27,1
532.6086956521739,16,4
533.4782608695652,24,2
534.3478260869565,25,1
535.2173913043478,19,0
536.0869565217391,27,2
536.9565217391305,21,1
537.8260869565217,22,0
538.695652173913,26,1
539.5652173913044,21,0
540.4347826086956,25,1
541.304347826087,22,1
542.1739130434783,17,0
543.0434782608695,23,1
543.9130434782609,23,0
544.7826086956522,30,2
545.6521739130435,24,1
546.5217391304348,24,0
547.391304347826,28,1
548.2608695652174,18,0
549.1304347826087,26,2
550.0,24,1
550.8695652173913,27,3
551.7391304347826,26,2
552.6086956521739,23,0
553.4782608695652,19,3
554.3478260869565,21,0
555.2173913043478,20,1
556.0869565217391,24,0
556.9565217391305,34,1
557.8260869565217,21,1
558.695652173913,27,2
559.5652173913044,23,0
560.4347826086956,27,2
561.304347826087,22,1
562.1739130434783,36,0
563.0434782608695,23,0
563.9130434782609,23,1
564.7826086956522,30,0
565.6521739130435,19,0
566.5217391304348,29,0
567.3913043478261,26,1
568.2608695652174,20,3
569.1304347826087,22,1
570.0,37,1
570.8695652173913,26,0
571.7391304347826,25,1
572.6086956521739,34,2
573.4782608695652,26,0
574.3478260869565,40,1
575.2173913043478,46,0
576.0869565217391,54,1
576.9565217391305,45,1
577.8260869565217,50,0
578.695652173913,38,1
579.5652173913044,41,3
580.4347826086956,51,1
581.304347826087,53,1
582.1739130434783,75,1
583.0434782608695,56,2
583.9130434782609,53,0
584.7826086956522,71,5
585.6521739130435,68,3
586.5217391304348,75,1
587.3913043478261,78,4
588.2608695652174,80,2
589.1304347826087,95,0
590.0,103,1
590.8695652173913,100,0
591.7391304347826,91,7
592.6086956521739,100,0
593.4782608695652,122,1
594.3478260869565,126,2
595.2173913043478,127,3
596.0869565217391,131,1
596.9565217391305,142,2
597.8260869565217,149,3
598.695652173913,167,1
599.5652173913044,139,1
600.4347826086956,197,3
601.304347826087,178,1
602.1739130434783,189,2
603.0434782608695,174,2
603.9130434782609,183,3
604.7826086956522,209,2
605.6521739130435,228,6
606.5217391304348,224,1
607.3913043478261,239,1
608.2608695652174,258,9
609.1304347826087,262,2
610.0,246,5
610.8695652173913,269,3
611.7391304347826,244,1
612.6086956521739,272,3
613.4782608695652,263,2
614.3478260869565,249,1
615.2173913043478,269,0
616.0869565217391,269,1
616.9565217391305,297,2
617.8260869565217,300,2
618.695652173913,291,2
619.5652173913044,265,3
620.4347826086956,280,0
621.304347826087,292,5
622.1739130434783,314,5
623.0434782608695,284,4
623.9130434782609,276,3
624.7826086956522,279,2
625.6521739130435,292,1
626.5217391304348,280,5
627.3913043478261,266,4
628.2608695652174,288,0
629.1304347826087,261,3
630.0,274,1
630.8695652173913,259,5
631.7391304347826,232,1
632.6086956521739,233,1
633.4782608695652,245,4
634.3478260869565,225,2
635.2173913043478,220,2
636.0869565217391,228,0
636.9565217391305,232,2
637.8260869565217,189,0
638.695652173913,194,2
639.5652173913044,179,0
640.4347826086956,206,0
641.304347826087,181,1
642.1739130434783,150,3
643.0434782608695,150,1
643.9130434782609,149,1
644.7826086956521,141,1
645.6521739130435,118,2
646.5217391304348,121,3
647.3913043478261,115,0
648.2608695652174,101,1
649.1304347826087,90,2
650.0,107,1
650.8695652173913,84,2
651.7391304347826,88,2
652.6086956521739,81,0
653.4782608695652,79,0
654.3478260869565,66,0
655.2173913043478,62,3
656.0869565217391,56,2
656.9565217391305,58,0
657.8260869565217,41,3
658.695652173913,42,2
659.5652173913044,41,2
660.4347826086956,37,1
661.304347826087,40,0
662.1739130434783,27,0
663.0434782608695,30,1
663.9130434782609,28,0
664.7826086956521,21,1
665.6521739130435,29,0
666.5217391304348,26,1
667.3913043478261,22,1
668.2608695652174,25,4
669.1304347826087,21,1
670.0,18,1
670.8695652173913,23,1
671.7391304347826,22,0
672.6086956521739,12,1
673.4782608695652,23,0
674.3478260869565,10,2
675.2173913043478,6,0
