pulseheight,counts_ch_A,counts_ch_B
500.4347826086956,2,1
501.304347826087,5,1
502.17391304347825,9,0
503.04347826086956,7,2
503.9130434782609,9,1
504.78260869565213,13,1
505.6521739130435,14,2
506.52173913043475,14,1
507.3913043478261,20,0
508.2608695652174,19,1
509.13043478260875,18,1
510.0,13,3
510.86956521739125,21,1
511.7391304347826,18,4
512.608695652174,12,0
513.4782608695652,15,0
514.3478260869565,24,0
515.2173913043478,17,0
516.0869565217391,18,0
516.9565217391305,23,0
517.8260869565217,24,3
518.695652173913,20,1
519.5652173913044,22,2
520.4347826086956,21,1
521.304347826087,26,4
522.1739130434783,25,0
523.0434782608695,26,2
523.9130434782609,28,4
524.7826086956522,34,0
525.6521739130435,22,0
526.5217391304348,20,0
527.391304347826,22,0
528.2608695652174,35,1
529.1304347826087,40,0
530.0,26,0
530.8695652173913,24,1
531.7391304347826,24,2
532.6086956521739,25,0
533.4782608695652,23,2
534.3478260869565,18,2
535.2173913043478,23,4
536.0869565217391,30,0
536.9565217391305,24,1
537.8260869565217,23,2
538.695652173913,21,0
539.5652173913044,25,0
540.4347826086956,26,2
541.304347826087,19,2
542.1739130434783,27,1
543.0434782608695,20,1
543.9130434782609,20,0
544.7826086956522,20,2
545.6521739130435,31,0
546.5217391304348,25,1
547.391304347826,9,4
548.2608695652174,21,4
549.1304347826087,29,2
550.0,21,1
550.8695652173913,33,6
551.7391304347826,20,2
552.6086956521739,28,0
553.4782608695652,21,4
554.3478260869565,26,2
555.2173913043478,25,0
556.0869565217391,18,0
556.9565217391305,30,0
557.8260869565217,20,2
558.695652173913,26,2
559.5652173913044,30,0
560.4347826086956,25,1
561.304347826087,23,0
562.1739130434783,30,0
563.0434782608695,27,2
563.9130434782609,24,2
564.7826086956522,32,2
565.6521739130435,42,2
566.5217391304348,32,0
567.3913043478261,28,1
568.2608695652174,33,1
569.1304347826087,18,5
570.0,17,1
570.8695652173913,22,4
571.7391304347826,32,1
572.6086956521739,39,2
573.4782608695652,38,5
574.3478260869565,32,2
575.2173913043478,38,0
576.0869565217391,37,1
576.9565217391305,48,3
577.8260869565217,39,3
578.695652173913,50,2
579.5652173913044,45,2
580.4347826086956,42,6
581.304347826087,60,3
582.1739130434783,63,6
583.0434782608695,70,1
583.9130434782609,60,4
584.7826086956522,71,1
585.6521739130435,68,4
586.5217391304348,56,2
587.3913043478261,73,2
588.2608695652174,93,2
589.1304347826087,96,3
590.0,98,4
590.8695652173913,95,4
591.7391304347826,99,6
592.6086956521739,116,4
593.4782608695652,120,3
594.3478260869565,147,7
595.2173913043478,126,2
596.0869565217391,142,6
596.9565217391305,138,3
597.8260869565217,153,2
598.695652173913,172,5
599.5652173913044,170,5
600.4347826086956,181,1
601.304347826087,168,3
602.1739130434783,184,6
603.0434782608695,187,4
603.9130434782609,214,3
604.7826086956522,225,3
605.6521739130435,223,4
606.5217391304348,210,3
607.3913043478261,209,2
608.2608695652174,218,3
609.1304347826087,231,6
610.0,239,2
610.8695652173913,239,7
611.7391304347826,286,5
612.6086956521739,267,5
613.4782608695652,303,4
614.3478260869565,244,3
615.2173913043478,277,3
616.0869565217391,246,2
616.9565217391305,307,5
617.8260869565217,288,0
618.695652173913,305,5
619.5652173913044,299,6
620.4347826086956,307,6
621.304347826087,294,0
622.1739130434783,271,1
623.0434782608695,303,5
623.9130434782609,266,5
624.7826086956522,294,2
625.6521739130435,268,2
626.5217391304348,261,7
627.3913043478261,288,7
628.2608695652174,253,4
629.1304347826087,265,2
630.0,258,6
630.8695652173913,277,4
631.7391304347826,268,2
632.6086956521739,233,2
633.4782608695652,261,1
634.3478260869565,208,4
635.2173913043478,186,6
636.0869565217391,214,4
636.9565217391305,168,1
637.8260869565217,192,0
638.695652173913,203,2
639.5652173913044,182,5
640.4347826086956,179,2
641.304347826087,180,3
642.1739130434783,151,2
643.0434782608695,142,3
643.9130434782609,132,2
644.7826086956521,135,2
645.6521739130435,134,2
646.5217391304348,138,1
647.3913043478261,128,3
648.2608695652174,94,1
649.1304347826087,98,1
650.0,93,1
650.8695652173913,78,1
651.7391304347826,80,3
652.6086956521739,83,2
653.4782608695652,78,3
654.3478260869565,78,2
655.2173913043478,74,1
656.0869565217391,63,0
656.9565217391305,53,0
657.8260869565217,55,0
658.695652173913,53,4
659.5652173913044,41,3
660.4347826086956,35,1
661.304347826087,37,1
662.1739130434783,34,1
663.0434782608695,28,1
663.9130434782609,23,2
664.7826086956521,27,0
665.6521739130435,21,1
666.5217391304348,23,0
667.3913043478261,22,1
668.2608695652174,18,0
669.1304347826087,22,1
670.0,19,1
670.8695652173913,15,0
671.7391304347826,13,2
672.6086956521739,11,2
673.4782608695652,5,2
674.3478260869565,13,2
675.2173913043478,20,1
676.0869565217391,8,0
676.9565217391305,9,1
677.8260869565217,12,1
678.695652173913,10,0
679.5652173913044,12,0
680.4347826086956,8,0
681.304347826087,18,1
682.1739130434783,11,2
683.0434782608695,6,1
683.9130434782609,8,2
684.7826086956521,10,0
685.6521739130435,15,1
686.5217391304348,9,2
687.3913043478261,8,0
688.2608695652174,8,0
689.1304347826087,9,0
690.0,10,0
690.8695652173913,8,1
691.7391304347826,11,0
692.6086956521739,8,0
693.4782608695652,6,1
694.3478260869565,5,1
695.2173913043478,10,1
696.0869565217391,7,2
696.9565217391305,8,2
697.8260869565217,16,0
698.695652173913,8,1
699.5652173913044,16,1
700.4347826086956,11,1
701.304347826087,11,0
702.1739130434783,7,1
703.0434782608695,10,0
703.9130434782609,7,2
704.7826086956521,9,1
705.6521739130435,13,0
706.5217391304348,12,1
707.3913043478261,9,0
708.2608695652174,7,1
709.1304347826087,12,0
710.0,10,0
710.8695652173913,12,1
711.7391304347826,6,0
712.6086956521739,2,1
713.4782608695652,9,0
714.3478260869565,7,0
715.2173913043478,3,0
716.0869565217391,10,0
716.9565217391305,9,1
717.8260869565217,12,1
718.695652173913,14,3
719.5652173913044,4,0
720.4347826086956,7,0
721.304347826087,7,0
722.1739130434783,12,0
723.0434782608695,7,0
723.9130434782609,7,0
724.7826086956521,8,2
725.6521739130435,8,1
726.5217391304348,9,0
727.3913043478261,15,1
728.2608695652174,9,1
729.1304347826087,7,3
730.0,11,1
730.8695652173913,6,1
731.7391304347826,6,1
732.6086956521739,4,0
733.4782608695652,9,0
734.3478260869565,7,1
735.2173913043478,3,0
736.0869565217391,10,1
736.9565217391305,5,1
737.8260869565217,8,1
738.695652173913,10,0
739.5652173913044,6,1
740.4347826086956,6,2
741.304347826087,8,0
742.1739130434783,8,1
743.0434782608695,10,0
743.9130434782609,6,0
744.7826086956521,8,0
745.6521739130435,6,0
746.5217391304348,13,1
747.3913043478261,11,0
748.2608695652174,8,2
749.1304347826087,7,1
750.0,12,1
750.8695652173913,7,0
751.7391304347826,7,0
752.6086956521739,13,1
753.4782608695652,8,0
754.3478260869565,6,0
755.2173913043478,11,0
756.0869565217391,8,0
756.9565217391304,11,0
757.8260869565217,4,1
758.695652173913,5,1
759.5652173913044,8,0
