pulseheight,counts_ch_A,counts_ch_B
540.6020066889632,11,2
541.8060200668897,12,1
543.010033444816,11,0
544.2140468227425,9,0
545.4180602006688,12,1
546.6220735785953,10,1
547.8260869565217,16,0
549.0301003344482,7,2
550.2341137123746,10,0
551.438127090301,9,3
552.6421404682274,8,2
553.8461538461538,8,0
555.0501672240803,8,1
556.2541806020067,4,2
557.4581939799332,8,2
558.6622073578595,7,0
559.866220735786,8,0
561.0702341137123,10,2
562.2742474916388,10,1
563.4782608695652,7,0
564.6822742474917,8,2
565.886287625418,7,1
567.0903010033445,3,2
568.2943143812709,12,0
569.4983277591973,8,0
570.7023411371238,7,2
571.9063545150502,4,2
573.1103678929766,7,4
574.314381270903,8,1
575.5183946488294,8,1
576.7224080267558,12,2
577.9264214046823,9,1
579.1304347826087,6,0
580.3344481605351,7,1
581.5384615384615,14,2
582.7424749163879,4,1
583.9464882943143,4,1
585.1505016722408,4,1
586.3545150501673,5,1
587.5585284280937,11,0
588.7625418060201,7,0
589.9665551839465,9,1
591.1705685618729,9,0
592.3745819397993,12,2
593.5785953177258,9,0
594.7826086956522,5,2
595.9866220735786,7,0
597.190635451505,13,2
598.3946488294314,1,1
599.5986622073578,7,2
600.8026755852843,11,1
602.0066889632108,8,1
603.2107023411371,9,1
604.4147157190636,13,1
605.6187290969899,9,0
606.8227424749164,10,0
608.0267558528428,10,2
609.2307692307693,12,0
610.4347826086956,7,4
611.6387959866221,7,2
612.8428093645484,10,6
614.0468227424749,11,2
615.2508361204013,9,1
616.4548494983278,3,2
617.6588628762543,5,3
618.8628762541806,5,4
620.066889632107,5,0
621.2709030100334,6,3
622.4749163879599,11,3
623.6789297658863,8,2
624.8829431438128,9,0
626.0869565217391,7,0
627.2909698996656,5,0
628.4949832775919,11,1
629.6989966555184,13,2
630.9030100334448,8,2
632.1070234113713,8,0
633.3110367892976,5,0
634.5150501672241,11,1
635.7190635451504,12,2
636.9230769230769,13,1
638.1270903010034,11,3
639.3311036789298,8,2
640.5351170568562,10,1
641.7391304347826,7,3
642.943143812709,10,2
644.1471571906354,7,6
645.3511705685619,7,1
646.5551839464883,6,0
647.7591973244148,13,3
648.9632107023411,8,1
650.1672240802675,10,2
651.371237458194,11,0
652.5752508361204,6,2
653.7792642140469,8,6
654.9832775919733,9,2
656.1872909698997,17,0
657.3913043478261,8,6
658.5953177257525,9,2
659.7993311036789,6,1
661.0033444816054,7,2
662.2073578595318,8,4
663.4113712374582,9,1
664.6153846153846,8,1
665.819397993311,8,1
667.0234113712374,14,4
668.2274247491639,13,4
669.4314381270904,9,6
670.6354515050168,10,3
671.8394648829432,13,6
673.0434782608695,15,3
674.247491638796,25,3
675.4515050167224,16,2
676.6555183946489,23,5
677.8595317725753,22,4
679.0635451505017,21,3
680.267558528428,22,12
681.4715719063545,26,5
682.6755852842809,25,4
683.8795986622074,26,12
685.0836120401339,33,7
686.2876254180602,30,4
687.4916387959865,37,5
688.695652173913,45,8
689.8996655518395,35,7
691.1036789297659,30,4
692.3076923076924,43,3
693.5117056856187,40,4
694.7157190635452,53,8
695.9197324414715,53,4
697.123745819398,50,7
698.3277591973244,54,15
699.5317725752509,51,12
700.7357859531774,61,5
701.9397993311037,66,14
703.14381270903,59,11
704.3478260869565,73,5
705.551839464883,63,12
706.7558528428094,89,4
707.9598662207359,70,10
709.1638795986622,84,7
710.3678929765886,69,9
711.571906354515,98,16
712.7759197324415,86,9
713.9799331103679,106,10
715.1839464882944,87,7
716.3879598662207,97,9
717.5919732441471,95,15
718.7959866220735,105,12
720.0,112,6
721.2040133779265,109,4
722.4080267558529,92,7
723.6120401337793,90,9
724.8160535117057,92,6
726.0200668896321,96,10
727.2240802675585,111,8
728.428093645485,106,8
729.6321070234114,97,11
730.8361204013379,107,6
732.0401337792642,81,3
733.2441471571906,81,11
734.448160535117,104,4
735.6521739130435,99,5
736.85618729097,100,8
738.0602006688964,97,13
739.2642140468228,90,8
740.4682274247491,84,2
741.6722408026756,80,7
742.876254180602,72,10
744.0802675585285,75,7
745.2842809364549,62,3
746.4882943143813,60,14
747.6923076923076,65,9
748.8963210702341,57,9
750.1003344481605,47,5
751.304347826087,50,9
752.5083612040135,62,5
753.7123745819398,42,2
754.9163879598663,40,6
756.1204013377926,26,4
757.3244147157191,37,7
758.5284280936455,33,9
759.732441471572,28,6
760.9364548494984,26,4
762.1404682274248,26,3
763.3444816053511,13,2
764.5484949832776,13,8
765.752508361204,22,4
766.9565217391305,17,2
768.160535117057,15,4
769.3645484949833,13,4
770.5685618729096,10,2
771.7725752508361,13,0
772.9765886287626,7,4
774.180602006689,11,4
775.3846153846155,5,7
776.5886287625418,9,4
777.7926421404682,7,5
778.9966555183946,6,3
780.2006688963211,4,1
781.4046822742475,5,5
782.608695652174,0,0
783.8127090301003,6,3
785.0167224080268,6,1
786.2207357859531,6,1
787.4247491638796,3,2
788.628762541806,0,3
789.8327759197325,4,0
791.036789297659,4,0
792.2408026755853,1,2
793.4448160535117,7,1
794.6488294314381,4,2
795.8528428093646,2,2
797.056856187291,8,0
798.2608695652175,3,2
799.4648829431438,4,4
800.6688963210702,8,1
801.8729096989966,3,1
803.0769230769231,6,6
804.2809364548496,5,3
805.484949832776,2,2
806.6889632107024,3,2
807.8929765886287,2,0
809.0969899665552,1,5
810.3010033444816,5,2
811.5050167224081,3,3
812.7090301003345,5,2
813.913043478261,1,1
815.1170568561872,4,1
816.3210702341137,5,2
817.5250836120401,4,1
818.7290969899666,2,1
819.933110367893,5,2
821.1371237458195,3,4
822.3411371237457,2,1
823.5451505016722,1,1
824.7491638795987,1,1
825.9531772575251,4,2
827.1571906354516,2,1
828.361204013378,2,4
829.5652173913044,11,3
830.7692307692307,4,3
831.9732441471572,5,2
833.1772575250836,6,1
834.3812709030101,7,1
835.5852842809365,4,0
836.7892976588629,5,0
837.9933110367892,3,1
839.1973244147157,2,2
840.4013377926422,2,3
841.6053511705686,5,2
842.8093645484951,4,2
844.0133779264215,5,0
845.2173913043478,1,1
846.4214046822742,3,1
847.6254180602007,5,0
848.8294314381271,2,0
850.0334448160536,5,1
851.23745819398,2,0
852.4414715719063,3,1
853.6454849498327,2,2
854.8494983277592,2,0
856.0535117056857,0,2
857.2575250836121,3,1
858.4615384615386,4,1
859.6655518394649,4,2
860.8695652173913,3,0
862.0735785953177,2,1
863.2775919732442,5,2
864.4816053511706,3,1
865.6856187290971,6,0
866.8896321070234,4,0
868.0936454849498,6,0
869.2976588628762,1,3
870.5016722408027,3,2
871.7056856187291,2,0
872.9096989966556,4,0
874.1137123745821,4,0
875.3177257525083,1,2
876.5217391304348,2,1
877.7257525083612,6,3
878.9297658862877,6,1
880.1337792642141,0,0
881.3377926421406,4,1
882.5418060200668,2,2
883.7458193979933,2,0
884.9498327759197,5,1
886.1538461538462,3,0
887.3578595317726,6,0
888.5618729096991,3,1
889.7658862876254,4,3
890.9698996655518,4,1
892.1739130434783,3,1
893.3779264214047,3,0
894.5819397993312,1,1
895.7859531772576,6,1
896.989966555184,0,1
898.1939799331103,3,1
899.3979933110368,0,0
